id,id2,Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
1,1,간장게장,한식,FALSE,밥,c,FALSE
2,2,족발,한식,FALSE,밥,h,FALSE
3,3,수육,한식,FALSE,밥,h,FALSE
4,4,잔치국수,한식,FALSE,면,h,TRUE
5,5,탕수육,중식,FALSE,밥,h,FALSE
6,6,물냉면,한식,FALSE,면,h,TRUE
7,7,비빔냉면,한식,TRUE,밥,c,FALSE
8,8,차돌된장찌개,한식,FALSE,밥,h,TRUE
9,9,짜장면,중식,FALSE,면,h,FALSE
10,10,월남쌈,동남아식,FALSE,밥,c,FALSE
11,11,짬뽕,중식,TRUE,면,h,TRUE
12,12,잡탕밥,중식,FALSE,밥,h,FALSE
13,13,돼지갈비,한식,FALSE,밥,h,FALSE
14,14,유부초밥,한식,FALSE,밥,c,FALSE
15,15,소갈비,한식,FALSE,밥,h,FALSE
16,16,참치김치찌개,한식,TRUE,밥,h,TRUE
17,17,보리밥,한식,FALSE,밥,h,FALSE
18,18,호박떡,디저트 ,FALSE,떡,c,FALSE
19,19,육개장,한식,TRUE,밥,h,TRUE
20,20,팔보채,중식,FALSE,밥,h,FALSE
21,21,벌집삼겹살,한식,FALSE,밥,h,FALSE
22,22,버블티,디저트 ,FALSE,버블티,c,FALSE
23,23,평양냉면,한식,FALSE,면,c,TRUE
24,24,알밥,일식,FALSE,밥,h,FALSE
25,25,대패삼겹살,한식,FALSE,밥,h,FALSE
26,26,꽈배기,디저트 ,FALSE,빵,h,FALSE
27,27,도넛,디저트 ,FALSE,빵,h,FALSE
28,28,초밥,일식,FALSE,밥,c,FALSE
29,29,회오리감자,간식,FALSE,감자,h,FALSE
30,30,호미빙,디저트 ,FALSE,아이스크림,c,FALSE
31,31,오징어버터구이,간식,FALSE,구이,h,FALSE
32,32,연탄불고기,한식,FALSE,밥,h,FALSE
33,33,오레오빙수,디저트 ,FALSE,아이스크림,c,FALSE
34,34,순두부찌개,한식,TRUE,밥,h,TRUE
35,35,회덮밥,일식,TRUE,밥,c,FALSE
36,36,깐풍기,중식,FALSE,튀김,h,FALSE
37,37,미역국,한식,FALSE,밥,h,TRUE
38,38,물회,한식,TRUE,밥,c,TRUE
39,39,콩나물국밥,한식,FALSE,밥,h,TRUE
40,40,오징어회,한식,FALSE,밥,c,FALSE
41,41,참치회,일식,FALSE,밥,c,FALSE
42,42,고등어구이,한식,FALSE,밥,h,FALSE
43,43,명란젓,한식(반찬),FALSE,밥,c,FALSE
44,44,배추김치,한식(반찬),TRUE,밥,c,FALSE
46,46,고사리 나물,한식(반찬),FALSE,밥,c,FALSE
47,47,크림카레우동,일식,FALSE,면,h,TRUE
48,48,갈비찜,한식,FALSE,밥,h,FALSE
49,49,치킨,한식,FALSE,밥,h,FALSE
50,50,경양식 돈까스,한식,FALSE,밥,h,FALSE
51,51,일식 돈까스 ,일식,FALSE,밥,h,FALSE
52,52,볶음김치,한식(반찬),TRUE,밥,h,FALSE
53,53,계란말이,한식(반찬),FALSE,밥,h,FALSE
54,54,숯불닭갈비,한식,TRUE,밥,h,FALSE
55,55,소고기무국,한식,FALSE,밥,h,TRUE
56,56,곰탕,한식,FALSE,밥,h,TRUE
57,57,갈비탕,한식,FALSE,밥,h,TRUE
58,58,호박전,한식(반찬),FALSE,밥,h,FALSE
59,59,치즈감자고로케,간식,FALSE,빵,h,FALSE
60,60,쫄병스낵,간식,FALSE,과자,c,FALSE
61,61,케밥,터키식,FALSE,빵,h,FALSE
